iter	TotalF1:average=Weighted;use_weights=false_Class=0,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=0,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=0,TP	TotalF1:average=Weighted;use_weights=false_Class=1,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=1,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=1,TP	TotalF1:average=Weighted;use_weights=false_Class=2,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=2,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=2,TP	TotalF1:average=Weighted;use_weights=false_Class=3,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=3,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=3,TP	TotalF1:average=Weighted;use_weights=false_Class=4,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=4,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=4,TP	TotalF1:average=Weighted;use_weights=false_Class=5,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=5,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=5,TP	Accuracy_SumError	Accuracy_SumWeight
0	50248	15549	15549	0	7197	0	0	4211	0	0	11742	0	0	8406	0	0	3143	0	15549	50248
1	50248	15383	15383	0	6842	0	0	6305	0	0	11625	0	0	7136	0	0	2957	0	15383	50248
2	50248	15245	15245	0	6796	0	0	5796	0	0	11585	0	0	8126	0	0	2700	0	15245	50248
3	50248	15347	15347	0	7080	0	0	6695	0	0	11027	0	0	7760	0	0	2339	0	15347	50248
4	50248	15333	15333	0	7005	0	0	7029	0	0	10596	0	0	7717	0	0	2568	0	15333	50248
5	50248	15353	15353	0	6966	0	0	7013	0	0	10460	0	0	7739	0	0	2717	0	15353	50248
6	50248	15267	15267	0	7061	0	0	6969	0	0	10580	0	0	7635	0	0	2736	0	15267	50248
7	50248	15273	15273	0	7093	0	0	6644	0	0	10679	0	0	7840	0	0	2719	0	15273	50248
8	50248	15220	15220	0	7065	0	0	6735	0	0	10743	0	0	7793	0	0	2692	0	15220	50248
9	50248	15248	15248	0	7025	0	0	6737	0	0	10686	0	0	7827	0	0	2725	0	15248	50248
