iter	Passed	Remaining
0	44	13201
1	90	13512
2	139	13785
3	178	13209
4	215	12725
5	258	12662
6	296	12419
7	337	12311
8	379	12269
9	414	12027
10	456	11993
11	499	11998
12	542	11971
13	579	11831
14	624	11869
15	664	11786
16	707	11782
17	753	11810
18	797	11799
19	845	11832
20	887	11796
21	924	11683
22	965	11622
23	1006	11577
24	1048	11529
25	1081	11399
26	1126	11385
27	1167	11344
28	1211	11320
29	1245	11207
30	1286	11163
31	1327	11116
32	1374	11118
33	1412	11052
34	1451	10988
35	1492	10944
36	1538	10932
37	1581	10901
38	1621	10852
39	1659	10789
40	1706	10781
41	1745	10720
42	1786	10678
43	1831	10658
44	1879	10650
45	1919	10601
46	1961	10557
47	1996	10482
48	2037	10435
49	2081	10406
50	2127	10386
51	2167	10337
52	2214	10319
53	2252	10263
54	2298	10238
55	2345	10219
56	2385	10168
57	2432	10149
58	2478	10122
59	2524	10098
60	2566	10057
61	2613	10032
62	2660	10008
63	2709	9992
64	2757	9968
65	2796	9915
66	2838	9871
67	2883	9836
68	2919	9774
69	2964	9740
70	3005	9692
71	3041	9631
72	3086	9599
73	3127	9552
74	3169	9509
75	3208	9456
76	3252	9419
77	3298	9388
78	3335	9331
79	3374	9278
80	3417	9239
81	3460	9200
82	3506	9166
83	3549	9126
84	3592	9085
85	3632	9038
86	3675	8999
87	3713	8946
88	3757	8907
89	3799	8865
90	3833	8805
91	3878	8769
92	3925	8737
93	3964	8688
94	4002	8637
95	4042	8589
96	4083	8545
97	4122	8496
98	4162	8450
99	4203	8407
100	4251	8376
101	4291	8330
102	4335	8292
103	4378	8251
104	4420	8208
105	4459	8162
106	4500	8117
107	4541	8074
108	4580	8025
109	4619	7978
110	4662	7938
111	4707	7902
112	4747	7856
113	4790	7816
114	4825	7762
115	4861	7711
116	4897	7659
117	4942	7622
118	4978	7573
119	5018	7528
120	5061	7488
121	5104	7447
122	5143	7402
123	5179	7351
124	5223	7312
125	5267	7274
126	5311	7234
127	5347	7185
128	5390	7145
129	5437	7111
130	5484	7075
131	5522	7028
132	5557	6978
133	5598	6935
134	5636	6888
135	5672	6840
136	5715	6800
137	5753	6754
138	5791	6708
139	5830	6662
140	5868	6618
141	5909	6575
142	5949	6532
143	5991	6490
144	6031	6447
145	6069	6402
146	6106	6355
147	6141	6307
148	6183	6266
149	6218	6218
150	6263	6180
151	6305	6139
152	6348	6099
153	6390	6058
154	6433	6018
155	6474	5976
156	6519	5938
157	6555	5891
158	6601	5854
159	6642	5812
160	6686	5772
161	6722	5726
162	6763	5684
163	6803	5642
164	6844	5599
165	6881	5554
166	6917	5508
167	6955	5464
168	6997	5423
169	7032	5377
170	7066	5331
171	7101	5284
172	7144	5244
173	7184	5202
174	7220	5157
175	7251	5108
176	7290	5066
177	7323	5019
178	7367	4980
179	7404	4936
180	7443	4893
181	7480	4849
182	7514	4804
183	7555	4763
184	7593	4720
185	7629	4676
186	7667	4633
187	7707	4591
188	7750	4552
189	7789	4509
190	7830	4468
191	7872	4428
192	7911	4385
193	7945	4341
194	7982	4298
195	8022	4256
196	8055	4211
197	8096	4171
198	8131	4127
199	8169	4084
200	8206	4042
201	8243	3999
202	8283	3958
203	8320	3915
204	8356	3872
205	8400	3833
206	8432	3788
207	8472	3747
208	8512	3706
209	8549	3664
210	8595	3625
211	8637	3585
212	8679	3545
213	8721	3504
214	8757	3462
215	8796	3420
216	8842	3382
217	8882	3341
218	8923	3300
219	8957	3257
220	8995	3215
221	9031	3173
222	9069	3131
223	9107	3089
224	9146	3048
225	9188	3008
226	9227	2967
227	9263	2925
228	9297	2882
229	9338	2842
230	9377	2801
231	9422	2761
232	9460	2720
233	9495	2678
234	9529	2635
235	9565	2594
236	9608	2554
237	9645	2512
238	9680	2470
239	9714	2428
240	9751	2387
241	9793	2347
242	9830	2305
243	9867	2264
244	9911	2224
245	9942	2182
246	9978	2141
247	10014	2099
248	10053	2059
249	10090	2018
250	10131	1977
251	10172	1937
252	10208	1896
253	10243	1855
254	10282	1814
255	10321	1773
256	10360	1733
257	10398	1692
258	10434	1651
259	10471	1610
260	10507	1570
261	10539	1528
262	10574	1487
263	10613	1447
264	10647	1406
265	10685	1365
266	10714	1324
267	10757	1284
268	10790	1243
269	10826	1202
270	10860	1162
271	10895	1121
272	10930	1081
273	10966	1040
274	11009	1000
275	11049	960
276	11083	920
277	11122	880
278	11164	840
279	11197	799
280	11230	759
281	11268	719
282	11303	679
283	11342	638
284	11382	599
285	11416	558
286	11449	518
287	11489	478
288	11528	438
289	11562	398
290	11602	358
291	11639	318
292	11675	278
293	11718	239
294	11761	199
295	11800	159
296	11832	119
297	11864	79
298	11902	39
299	11944	0
